"location","year","Depressive disorders","Major depressive disorder","Dysthymia","Anxiety disorders","mn_pos","mn_neg","ratio","total"
"Macedonia",2017,2.85018519355,1.73494023365,1.15744216269,3.69971840478,29.8,18.6,0.624161073825503,48.4
"Sri Lanka",2017,3.73401556427,1.95635717206,1.84914184719,3.55280680225,103.250724637681,65.2550724637681,0.632005951461898,168.505797101449
"Burkina Faso",2017,2.57621713473,1.8189647431,0.805204229541,2.58714554525,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Thailand",2017,3.81100602005,1.7814493896,2.09986393008,3.75345822808,122,84.25,0.690573770491803,206.25
"New Zealand",2017,4.0731626385,2.34478169388,1.80413244066,8.44336015359,20,16,0.8,36
"Romania",2017,2.99940975147,1.93349046041,1.10872180997,3.54974088034,187.75,134.5,0.716378162450067,322.25
"South Korea",2017,3.69397197353,2.43271323459,1.32184278585,3.98449651572,419.481481481481,311.481481481481,0.742539290128907,730.962962962963
"Djibouti",2017,3.08408319655,2.11936257199,1.02091279702,3.48275625652,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Sierra Leone",2017,2.67792001379,1.87314135384,0.85545811064,2.69942566763,20,16,0.8,36
"Austria",2017,3.85084839885,2.00428349119,1.91649079227,5.48952822965,162.047297297297,106.195945945946,0.655339198599008,268.243243243243
"Puerto Rico",2017,3.30623869465,2.12200273918,1.23374034475,4.99313023408,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Yemen",2017,3.21538780859,2.48166126335,0.79823868353,4.4047321298,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"United Arab Emirates",2017,3.47897237697,2.38798805529,1.14378281259,4.84257387318,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"Malaysia",2017,3.52147820866,1.96679855893,1.61800303841,4.41608183762,85.84,81.36,0.947809878844362,167.2
"Cambodia",2017,2.84212268817,1.46966954557,1.41970939031,3.17014875894,148.6,133.6,0.899057873485868,282.2
"Mali",2017,2.04499083575,1.30450613119,0.773435474477,2.5595741712,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Bolivia",2017,2.83257947514,1.99454012852,0.886061350364,4.11803083365,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"The Bahamas",2017,2.82168124718,1.7924686297,1.0687862832,4.95788578115,20,16,0.8,36
