id,year,title,langname,gcode,area,langfamily,affiliation,longitude,latitude
njp.32101041380088,1914,"Colloquial English-Persian dictionary in the Roman character, containing all English words in common use with their meanings in modern Persian, with numerous examples. By Lieut.-Colonel D. C. Phillott.",Western Farsi,west2369,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Iranian,Southwestern Iranian,Middle-Modern Persian,Modern Southwestern Iranian,Farsic-Caucasian Tat,Farsic",53.3,32.9
chi.086571089,1910,"Collot's French-English and English-French dictionary, composed from the standard dictionaries of the French and English languages and from various dictionaries and works of science, literature, arts, etc.; containing definitions of technical, scientific and abstract terms, by A.S. Collot ..._c.1",French,stan1290,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Global French",2,48
uiug.30112067911955,1902,"Commercial press English and Chinese pronouncing dictionary. Comprising 100,000 words and phrases, with translations, pronunciations, etymologies, definitions, illustrations, etc., etc., also a copious appendix.",Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
pst.000002736891,1946,"Common usage dictionary, French-English, English-French / by Ralph Weiman ... Containing over 15,000 basic terms, with meanings illustrated by sentences and 1000 essential words specially indicated.",French,stan1290,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Global French",2,48
osu.32435054850235,1958,"Common usage dictionary: Hebrew-English, English-Hebrew : Based on the method devised by Ralph Weiman / Prepared in co-operation with the Seminary School of Jewish Studies of the Jewish Theological Seminary.  Containing over 12,000 basic terms with meaning illustrated by sentences and 1000 essential words especially indicated.",Modern Hebrew,hebr1245,Eurasia,Afro-Asiatic,"Afro-Asiatic,Semitic,West Semitic,Central Semitic,Northwest Semitic,Canaanite,Hebrewic",35.0179,31.1056
txu.059173001675550,1956,"Common usage dictionary : Portuguese-English, English-Portuguese / by Oscar Fernández ; based on the method devised by Ralph Weiman.",Portuguese,port1283,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Southwestern Shifted Romance,West Ibero-Romance,Galician Romance,Macro-Portuguese,Brazil-Portugal Portuguese",-8.1,39.91
mdp.39015077269986,1958,"Common usage dictionary : Russian-English, English-Russian / by Aron Pressman ; based on the method devised by Ralph Weiman.",Russian,russ1263,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,East Slavic",50,59
txu.059173004457319,1955,"Common usage dictionary, Spanish-English, English-Spanish. By Ralph Weiman and O. A. Succar.",Spanish,stan1288,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Southwestern Shifted Romance,West Ibero-Romance,Castilic",-1.11788,40.4414
mdp.39015046429745,1999,"Compact American Spanish dictionary : Spanish-English, English-Spanish.",Spanish,stan1288,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Southwestern Shifted Romance,West Ibero-Romance,Castilic",-1.11788,40.4414
uc1.32106013553000,1976,Compact English-Chinese dictionary : Yale romanization / by C. K. & K. S. Wu,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
